Nitrogen (mg/kg),Fosfor (mg/kg),Kalium (mg/kg),pH,Kelembapan (%),Suhu (°C),EC (dS/m),Salinitas (ppt),TDS (ppm),Kondisi Tanah,Rekomendasi Tindakan
336,197,3533,6.35,64.64,32.11,0.34,139.65,1192.41,Baik,"tambahkan pupuk banyak, cukup air"
669,326,2904,6.46,53.48,21.64,1.87,329.43,1678.81,Baik,"tambahkan pupuk sedang, cukup air"
504,265,3092,6.07,57.22,25.96,1.25,155.13,3378.71,Baik,"tambahkan pupuk sedang, cukup air"
340,152,2735,6.01,62.75,25.05,1.35,275.16,3413.19,Baik,"tambahkan pupuk banyak, cukup air"
305,174,1840,5.59,51.41,28.54,0.86,234.81,1621.25,Baik,"tambahkan pupuk banyak, cukup air"
254,246,1782,6.05,57.23,32.92,1.83,133.41,2007.74,Baik,"tambahkan pupuk banyak, cukup air"
848,317,2078,5.88,60.7,21.18,1.31,323.12,1402.72,Baik,"tambahkan pupuk sedang, cukup air"
355,358,1792,6.11,69.92,21.09,1.56,307.74,1222.52,Baik,"tambahkan pupuk banyak, cukup air"
700,150,3278,5.89,59.49,32.75,0.8,238.62,3976.52,Baik,"tambahkan pupuk sedang, cukup air"
448,208,3767,5.74,66.32,23.19,1.92,176.31,2966.78,Baik,"tambahkan pupuk banyak, cukup air"
564,322,3461,5.59,58.64,30.03,1.66,153.66,2626.29,Baik,"tambahkan pupuk sedang, cukup air"
692,328,3582,5.81,65.93,28.14,1.72,204.68,3296.5,Baik,"tambahkan pupuk sedang, cukup air"
321,274,2264,5.6,61.91,32.49,0.43,181.9,3520.23,Baik,"tambahkan pupuk banyak, cukup air"
606,139,1831,5.68,67.73,21.88,0.61,234.91,3420.14,Baik,"tambahkan pupuk sedang, cukup air"
333,119,3378,6.49,58.22,21.95,0.64,331.91,1049.62,Baik,"tambahkan pupuk banyak, cukup air"
364,335,3170,5.94,62.09,28.35,0.61,249.32,1560.42,Baik,"tambahkan pupuk banyak, cukup air"
542,135,3506,6.03,62.6,34.2,1.73,315.78,2964.72,Baik,"tambahkan pupuk sedang, cukup air"
577,267,3333,6.37,58.35,26.22,0.16,265.34,2127.28,Baik,"tambahkan pupuk sedang, cukup air"
725,165,1683,6.5,52.89,24.9,0.24,228.28,3947.45,Baik,"tambahkan pupuk sedang, cukup air"
647,292,1536,6.08,51.87,29.1,0.62,308.32,2996.21,Baik,"tambahkan pupuk sedang, cukup air"
619,211,1593,6.31,50.33,33.96,0.48,227.46,3869.65,Baik,"tambahkan pupuk sedang, cukup air"
425,220,3311,5.83,67.47,32.55,0.54,311.28,1604.34,Baik,"tambahkan pupuk banyak, cukup air"
510,365,2005,5.81,54.73,34.93,1.62,189.52,3591.87,Baik,"tambahkan pupuk sedang, cukup air"
394,232,1215,5.9,54.23,20.34,1.17,155.18,1964.06,Baik,"tambahkan pupuk banyak, cukup air"
693,343,2554,6.17,64.72,21.69,0.11,308.47,3968.69,Baik,"tambahkan pupuk sedang, cukup air"
547,181,1352,6.18,56.4,29.14,0.92,251.94,1473.07,Baik,"tambahkan pupuk sedang, cukup air"
255,377,3732,5.82,60.12,32.31,0.87,315.6,2549.02,Baik,"tambahkan pupuk banyak, cukup air"
486,358,2523,5.63,53.25,24.28,0.32,325.88,3378.53,Baik,"tambahkan pupuk banyak, cukup air"
794,301,1243,6.13,69.19,23.59,1.38,139.32,2297.93,Baik,"tambahkan pupuk sedang, cukup air"
708,361,1746,5.63,67.03,31.8,1.43,233.7,2404.25,Baik,"tambahkan pupuk sedang, cukup air"
292,240,2713,6.08,67.28,20.85,1.47,207.12,3959.07,Baik,"tambahkan pupuk banyak, cukup air"
744,383,1606,6.19,58.14,25.54,1.48,260.06,2275.92,Baik,"tambahkan pupuk sedang, cukup air"
